#           k/h    P           
    0.12770E+03    0.74381E-07
    0.13028E+03    0.70292E-07
    0.13291E+03    0.66425E-07
    0.13559E+03    0.62767E-07
    0.13833E+03    0.59306E-07
    0.14113E+03    0.56033E-07
    0.14398E+03    0.52937E-07
    0.14689E+03    0.50009E-07
    0.14985E+03    0.47240E-07
    0.15288E+03    0.44621E-07
    0.15597E+03    0.42144E-07
    0.15912E+03    0.39802E-07
    0.16233E+03    0.37587E-07
    0.16561E+03    0.35493E-07
    0.16896E+03    0.33512E-07
    0.17237E+03    0.31640E-07
    0.17585E+03    0.29870E-07
    0.17941E+03    0.28196E-07
    0.18303E+03    0.26614E-07
    0.18673E+03    0.25118E-07
    0.19050E+03    0.23704E-07
    0.19435E+03    0.22368E-07
    0.19828E+03    0.21105E-07
    0.20228E+03    0.19911E-07
    0.20637E+03    0.18783E-07
    0.21054E+03    0.17717E-07
    0.21479E+03    0.16709E-07
    0.21913E+03    0.15758E-07
    0.22356E+03    0.14858E-07
    0.22807E+03    0.14009E-07
    0.23268E+03    0.13206E-07
    0.23738E+03    0.12448E-07
    0.24217E+03    0.11732E-07
    0.24707E+03    0.11055E-07
    0.25206E+03    0.10417E-07
    0.25715E+03    0.98137E-08
    0.26234E+03    0.92444E-08
    0.26764E+03    0.87068E-08
    0.27305E+03    0.81994E-08
    0.27857E+03    0.77204E-08
    0.28419E+03    0.72684E-08
    0.28994E+03    0.68419E-08
    0.29579E+03    0.64394E-08
    0.30177E+03    0.60597E-08
    0.30786E+03    0.57015E-08
    0.31408E+03    0.53637E-08
    0.32043E+03    0.50451E-08
    0.32690E+03    0.47447E-08
    0.33351E+03    0.44615E-08
    0.34024E+03    0.41945E-08
    0.34712E+03    0.39429E-08
    0.35413E+03    0.37059E-08
    0.36128E+03    0.34825E-08
    0.36858E+03    0.32721E-08
    0.37603E+03    0.30740E-08
    0.38362E+03    0.28874E-08
    0.39137E+03    0.27117E-08
    0.39928E+03    0.25464E-08
    0.40734E+03    0.23908E-08
    0.41557E+03    0.22444E-08
    0.42397E+03    0.21067E-08
    0.43253E+03    0.19772E-08
    0.44127E+03    0.18555E-08
    0.45019E+03    0.17410E-08
    0.45928E+03    0.16335E-08
    0.46856E+03    0.15324E-08
    0.47802E+03    0.14375E-08
    0.48768E+03    0.13483E-08
    0.49753E+03    0.12646E-08
    0.50758E+03    0.11860E-08
    0.51784E+03    0.11123E-08
    0.52830E+03    0.10431E-08
